Question,label
"Roya paid $48 for 12 cartons of orange juice. What is the unit rate per carton of orange juice that Roya paid? 
 A $3 
 B $4 
 C $6 
 D $12 

",3
"The model below can be used to find the product of $$\frac{2}{3} \times \frac{1}{4}$$. 
y2015_grade5_q16_img_1.png 
What is the product of $$\frac{2}{3} \times \frac{1}{4}$$? 
 A $$\frac{2}{9}$$ 
 B $$\frac{3}{9}$$ 
 C $$\frac{2}{12}$$ 
 D $$\frac{9}{12}$$ 

",2
"A diagram of Parvati’s garden and the lengths of all its sides are shown below. 
Parvati’s Garden y2016_grade4_q20_img_1.png 
Parvati wants to put a fence around her whole garden. What is the least number of yards of fence she will need? 
 A 24 yards 
 B 28 yards 
 C 36 yards 
 D 48 yards 

",1
"This question has four parts. Be sure to label each part of your response. 
The students in a class are selling bracelets and pencils to raise money for a field trip. 
 3_1 They will raise $1.50 for each bracelet they sell. 
 3_2 They will raise $0.75 for each pencil they sell. 

A. [{'element_id': 'A_1', 'element_type': 'number+text', 'element_value': 'Nyla sold 13 bracelets.'}, {'element_id': 'A_2', 'element_type': 'text-plain', 'element_value': 'What is the total amount of money, in dollars, Nyla raised selling bracelets? Show or explain how you got your answer.'}] 
B. [{'element_id': 'B_1', 'element_type': 'number+text', 'element_value': 'Nyla also sold 11 pencils.'}, {'element_id': 'B_2', 'element_type': 'text-plain', 'element_value': 'What is the total amount of money, in dollars, Nyla raised selling bracelets and pencils? Show or explain how you got your answer.'}] 
C. [{'element_id': 'C_1', 'element_type': 'number+text', 'element_value': 'The class goal is to raise a total of $900.'}, {'element_id': 'C_2', 'element_type': 'text-plain', 'element_list': [{'element_id': 'C_2_1', 'element_type': 'number+text', 'element_value': 'The class has 25 students.'}, {'element_id': 'C_2_2', 'element_type': 'text-plain', 'element_value': 'Each student will raise the same amount of money.'}]}, {'element_id': 'C_3', 'element_type': 'text-plain', 'element_value': 'What is the total amount of money, in dollars, Nyla still needs to raise to meet her part of the class goal? Show or explain how you got your answer.'}] 
D. [{'element_id': 'D_1', 'element_type': 'text-plain', 'element_value': 'Tomorrow, Nyla will sell more bracelets and pencils to raise enough money to meet her part of the class goal from Part C.'}, {'element_id': 'D_2', 'element_type': 'text-plain', 'element_value': 'How many bracelets and how many pencils could Nyla sell tomorrow to raise the exact amount of money she still needs? Give one possible answer. Show or explain how you got your answer.'}] 
",2
Rebecca wants to split a collection of eggs into groups of 2. Rebecca has 16 eggs and 3 marbles. How many groups will be created?,0
"A student collects data by asking students in his math class some questions. Which of the following questions are statistical questions? 
Select the two statistical questions. 
 A Who is your math teacher? 
 B What is your favorite subject? 
 C How many minutes long is math class? 
 D Did the teacher give a math quiz today? 
 E How many minutes do you spend on math homework each week? 

",3
"A family ordered two pizzas for dinner. Both pizzas were the same size. Each slice of pizza was the same size. 
y2022_grade4_q1_img_1.png 
This diagram shows the amount of pizza remaining after dinner. 
Which of these equations shows how to find the fraction of a whole pizza that was remaining after dinner? 
 A $$ \frac{3}{5} + \frac{2}{6} = \frac{5}{11} $$ 
 B $$ \frac{3}{8} + \frac{2}{8} = \frac{5}{8} $$ 
 C $$ \frac{5}{8} + \frac{6}{8} = \frac{11}{8} $$ 
 D $$ \frac{3}{8} + \frac{2}{8} = \frac{5}{16} $$ 

",1
"This graph represents the relationship between the number of hours a babysitter worked and the amount of money, in dollars, she earned. 
Money Earned
Babysitting y2019_grade6_q5_img_1.png 
What is the amount of money, in dollars, the babysitter earned for each hour she worked? 
 A $5 
 B $8 
 C $30 
 D $40 

",3
"Which of these problems can be solved using this division expression? 
$$ 56 \div 7 $$ 
Select the two correct answers. 
 A A student has 56 juice boxes. A cooler will hold 7 juice boxes. How many coolers are needed to hold all of the juice boxes? 
 B A student has 56 juice boxes. Of the 56 juice boxes, 7 juice boxes are fruit punch. How many juice boxes are not fruit punch? 
 C A student has 56 juice boxes. He will give 7 juice boxes to his brother. How many juice boxes will the student have remaining? 
 D A student has 56 juice boxes. He will buy 7 more juice boxes at the store. How many juice boxes will the student have after he gets home from the store? 
 E A student has 56 juice boxes. The juice boxes are in packages. Each package has 7 juice boxes. How many packages of juice boxes does the student have? 

",0
"Nathan had 24 balloons. He gave some of his balloons to 3 friends. He gave each friend 5 balloons. 
How many balloons does Nathan have now? 
Enter your answer in the answer boxes at the top of the answer grid and completely fill the matching circles. 
y2018_grade3_q30_img_1.png 
",0
