Question,Grade applied,KCs applied,Source,label
"Mr. Johnson’s class has 24 students. 
 2_1 There are 18 students in the class who study Spanish. 
 2_2 The other students in the class study French. 

In Mr. Johnson’s class, which of the following is the ratio of students who study French to students who study Spanish? 
 A $$ 1:3 $$ 
 B $$ 1:4 $$ 
 C $$ 2:3 $$ 
 D $$ 3:4 $$ 

",6,6.RP.1,MCAS,3
"Sean’s height is 1.8 meters. What is Sean’s height in centimeters? 
 A 0.018 centimeter 
 B 0.18 centimeter 
 C 18 centimeters 
 D 180 centimeters 

",6,6.RP.3,MCAS,3
"What is the value of this expression when $$ g = 1.5 $$ ? 
$$ 5g^2 $$ 
Enter your answer in the answer boxes at the top of the answer grid and completely fill the matching circles. 
",6,6.EE.2,MCAS,3
"Compute: 
$$42 \div 7$$ 
Write your answer in the Answer Box below. 
Answer Box y2016_grade3_q4_img_1.png 
",3,3.OA.7,MCAS,0
"The length and width of a field are shown in the diagram below. 
y2015_grade4_q21_img_1.png 
a. {'element_type': 'text-plain', 'element_value': 'What is the perimeter, in feet, of the field? Show or explain how you got your answer.'} 
b. {'element_type': 'text-plain', 'element_value': 'What is the area, in square feet, of the field? Show or explain how you got your answer.'} 
Both the length and the width of the field will be increased by 10 feet. 
c. {'element_type': 'text-plain', 'element_value': 'What will be the new area, in square feet, of the field? Show or explain how you got your answer.'} 
",4,4.MD.3,MCAS,1
"Tameca scored 6 points in a basketball game. Leah scored 3 times as many points as Tameca in the basketball game. 
Which equation shows the number of points Leah scored? 
 A $$6 \div 3 = 2$$ 
 B $$6 - 3 = 3$$ 
 C $$6 + 3 = 9$$ 
 D $$6 \times 3 = 18$$ 

",4,4.OA.1,MCAS,1
"Two bands are marching in a parade. 
 2_1 There are 32 people marching in the first band. 
 2_2 There are 40 people marching in the second band. 
 2_3 The same number of people are marching in each row in both bands. 

What is the greatest number of people that could be marching in each row? 
 A 2 
 B 4 
 C 8 
 D 10 

",6,6.NS.4,MCAS,3
"Ms. Ashley planned to stay at a hotel that charges $88 per night for a room and $20 per night in fees and taxes. She used this expression to calculate the total cost of staying in the hotel for n nights. 
$$ 88n + 20n $$ 
Which of the following expressions is equivalent to the expression that Ms. Ashley used? 
 A $$ 108n $$ 
 B $$ 108n^2 $$ 
 C $$ 108 + n $$ 
 D $$ 108 + n^2 $$ 

",6,6.EE.4,MCAS,3
"Conner wrote the equation shown below. 
$$6 \times 8 = n$$ 
Which statement about Conner’s equation is true? 
 A The value of n is 6 less than 8. 
 B The value of n is 6 divided by 8. 
 C The value of n is 6 greater than 8. 
 D The value of n is 6 times as many as 8. 

",4,4.OA.1,MCAS,1
"Taylor used 1-square-inch pieces to complete a puzzle, as shown. 
y2018_grade3_q39_img_1.png 
What is the area, in square inches, of Taylor’s puzzle? 
Enter your answer in the answer boxes at the top of the answer grid and completely fill the matching circles. 
y2018_grade3_q39_img_2.png 
",3,3.MD.6,MCAS,0
"Alexis is applying for a new job and bought a new set of business clothes to wear to the interview. She went to a department store with a budget of $200 and spent $30 on a button-up shirt, $46 on suit pants, $38 on a suit coat, $11 on socks, and $18 on a belt. She also purchased a pair of shoes, but lost the receipt for them. She has $16 left from her budget. How much did Alexis pay for the shoes?",3,['3.NBT.A.2'],GSM8K-TRAIN,0
"Which equation is true? 
 A $$30,000 \div 10 = 300,000$$ 
 B $$30,000 \div 100 = 300,000$$ 
 C $$300,000 \div 10 = 30,000$$ 
 D $$300,000 \div 100 = 30,000$$ 

",4,4.NBT.1,MCAS,1
"What is the value of the 7 in 472,582? 
 A 7 ten thousands 
 B 7 thousands 
 C 7 hundreds 
 D 7 tens 

",4,4.NBT.1,MCAS,1
"Hunter is using different lengths of wire for a science project. The line plot below shows the length, in meters, of each wire he will use. 
Length of Wire (in meters) y2015_grade5_q18_img_1.png 
Which of the following is the total length, in meters, of wire Hunter is using for the project? 
 A $$\frac{1}{2}$$ 
 B $$\frac{5}{8}$$ 
 C $$1\frac{3}{8}$$ 
 D $$1\frac{7}{8}$$ 

",5,5.MD.2,MCAS,2
"Lina brought $10.00 to the fair. 
 2_1 She spent $2.59 for cotton candy. 
 2_2 She spent $3.49 for a toy. 

How much money did Lina have left? 
 A $3.92 
 B $4.02 
 C $4.92 
 D $5.02 

",5,5.NBT.7,MCAS,2
"A pet store needs to put 23 birds into birdcages. Each birdcage can hold 4 birds. 
What is the least number of cages the pet store needs to hold all the birds? 
 A 7 
 B 6 
 C 5 
 D 4 

",4,4.OA.3,MCAS,1
"Weng earns $12 an hour for babysitting. Yesterday, she just did 50 minutes of babysitting. How much did she earn?",4,"['4.NF.C.6', '4.NF.B.4.c', '4.MD.A.2']",GSM8K-TRAIN,1
"Ms. Manning has 138 markers. 
What is 138 rounded to the nearest ten? 
Enter your answer in the answer boxes at the top of the answer grid and completely fill the matching circles. 
y2018_grade3_q3_img_1.png 
",3,3.NBT.1,MCAS,0
"A student used the expression shown to solve a problem. 
$$ 45 \div 9 $$ 
Which of these could be the problem the student solved? 
 A Owen had 45 seeds. He gave 9 seeds to Beth. How many seeds does Owen have now? 
 B Owen had 45 seeds. Beth gave him 9 more seeds. How many seeds does Owen have now? 
 C Owen put 45 seeds into each pot. He had 9 pots. How many seeds in all did Owen put into pots? 
 D Owen had 45 seeds to put into pots. He put 9 seeds into each pot. How many pots did Owen put seeds into? 

",3,3.OA.2,MCAS,0
"A diagram of a car window is shown below. 
y2016_grade5_q18_img_1.png 
Which two words best describe the shape of the car window? 
 A rectangle, rhombus 
 B trapezoid, rectangle 
 C rhombus, quadrilateral 
 D quadrilateral, trapezoid 

",5,5.G.4,MCAS,2
