Question,label
"The graph below shows the numbers of laps four children ran in gym class. 
Numbers of Laps Children Ran y2015_grade3_q1_img_1.png 
What is the total number of laps the four children ran in gym class? 
 A 21 
 B 16 
 C 11 
 D 9 

",0
"Ms. Garcia wrote the sentence shown in the box below. 
There are 8 students, and each student has 4 books. 
Which of these can be used to find the total number of books? 
 A $$8 \times 4$$ 
 B $$8 - 4$$ 
 C $$8 + 4$$ 
 D $$8 \div 4$$ 

",0
"Ms. Shaw has a quilt that is in the shape of a rectangle. The quilt is 7 feet long and 6 feet wide, as shown below. 
y2015_grade3_q3_img_1.png 
a. [{'element_id': 'a_1', 'element_type': 'text-plain', 'element_value': 'What is the perimeter, in feet, of Ms. Shaw’s quilt? Show or explain how you got your answer.'}, {'element_id': 'a_2', 'element_type': 'text-answer_with_red_line', 'element_value': 'Perimeter:<<red_line>>feet'}] 
Ms. Garcia also has a quilt in the shape of a rectangle. Ms. Garcia’s quilt has the same perimeter as Ms. Shaw’s quilt but has a different area. 
b. [{'element_id': 'b_1', 'element_type': 'text-plain', 'element_value': 'What could be the length and the width, in feet, of Ms. Garcia’s quilt? Show or explain how you got your answer.'}, {'element_id': 'b_2', 'element_type': 'text-answer_with_red_line', 'element_value': 'Length:<<red_line>>feet'}, {'element_id': 'b_3', 'element_type': 'text-answer_with_red_line', 'element_value': 'Width:<<red_line>>feet'}] 
",0
"Which of these sentences matches the expression in the box below? 
$$30 \div 6$$ 
 A There are 30 students in Ms. Hall’s class, and 6 students are not in class. 
 B There are 30 students in Ms. Hall’s class, and 6 new students join the class. 
 C There are 30 students in Ms. Hall’s class, and the students are in 6 equal groups. 
 D There are 30 students in Ms. Hall’s class, and each student brings in 6 plastic bottles. 

",0
"What is the missing number that makes the number sentence below true? 
$$165 + \boxed{?} = 214$$ 
 A 49 
 B 51 
 C 169 
 D 379 

",0
"The Walker family drove 362 miles. 
What is 362 rounded to the nearest hundred? 
 A 300 
 B 360 
 C 370 
 D 400 

",0
"The chart below shows the number of minutes for each field day activity. 
Numbers of Laps Children Ran y2015_grade3_q7_img_1.png 
Which two activities take a total of exactly one hour? 
 A Races and Egg Toss 
 B Egg Toss and Kickball 
 C Races and Tag 
 D Tag and Kickball 

",0
"Use the 1-inch tiles from your tool kit to answer question 8. 
Hannah drew the shape shown below. 
y2015_grade3_q8_img_1.png 
What is the area of the shape Hannah drew? 
 A 5 square inches 
 B 6 square inches 
 C 10 square inches 
 D 12 square inches 

",0
"Which of these is equal to the expression below? 
$$8 \times 6$$ 
 A $$(5 \times 3) \times 6$$ 
 B $$(5 \times 3) + 6$$ 
 C $$(5 + 3) + 6$$ 
 D $$(5 + 3) \times 6$$ 

",0
"Anton cut a large piece of cloth into small rectangles. Each small rectangle has the same area. The area of each small rectangle is $$\frac{1}{8}$$ the area of the large piece. 
How many small rectangles did Anton cut the large piece of cloth into? 
 A 1 
 B 7 
 C 8 
 D 9 

",0
